,LondonA,RestOfSouthA,MidlandsA,NorthA,ScotlandA,WalesA 
 24th June 2019,9,11,13,9,6,15
1st Jul 2019,5,13,12,10,14,9
6th - 8th July 2019,8,11,10,9,7,10
13th - 14th July 2019,12,14,18,13,12,11
20th - 22nd July 2019,9,11,10,12,7,10
27th - 29th July 2019,12,17,16,14,9,10
3rd - 5th August 2019,17,18,16,13,5,9
10th - 11th August 2019,18,24,23,16,11,22
10th - 19th August 2019,20,18,20,13,8,17
24th - 26th August 2019,16,20,20,19,12,12
31st Aug - 2nd Sep 2019,17,26,25,20,11,20
7th - 9th September 2019,13,20,14,16,12,14
14th - 16th September 2019,11,19,19,18,15,22
21st - 23rd September 2019,13,20,19,16,15,13
28th - 30th September 2019,18,18,21,15,14,11
5th - 6th October 2019,17,21,23,19,11,24
12th - 14th October 2019,15,20,21,17,14,15
19th - 21st October 2019,19,22,27,22,15,23
26th - 28th October 2019,22,22,23,17,15,24
2nd - 4th November 2019,16,22,17,17,15,18
9th - 11th November 2019,23,24,26,17,24,19
16th - 18th November 2019,21,23,23,20,18,17
23rd - 25th November 2019,21,25,26,20,15,18
30th Nov - 1st Dec 2019,21,26,23,21,16,15
14th - 16th December 2019,23,30,31,26,20,21
21st - 23rd December 2019,30,36,35,36,24,26
28th - 30th December 2019,27,35,38,29,24,34
4th - 6th January 2020,21,35,35,26,22,35
11th - 13th January 2020,27,38,38,33,26,20
18th - 20th January 2020,24,38,36,29,21,27
25th - 27th January 2020,27,37,33,35,28,32
1st - 3rd February 2020,27,43,37,36,17,21
8th - 9th February 2020,29,38,42,36,24,32
15th - 17th February 2020,28,39,38,35,24,28
22nd - 24th February 2020,27,40,36,31,22,30
29th Feb - 2nd Mar 2020,27,40,36,31,21,25
7th - 9th March 2020,29,42,42,34,24,27
14th - 16th March 2020,29,47,43,37,29,27
21st - 23rd March 2020,36,58,56,54,41,44
28th - 30th March 2020,36,58,58,55,41,44
4th - 6th April 2020,41,58,54,50,31,48
11th - 13th April 2020,38,56,56,50,31,54
18th - 20th April 2020,39,49,57,50,32,37
25th - 27th April 2020,31,51,55,51,31,41
2nd - 3rd May 2020,39,55,53,49,36,50
9th - 10th May 2020,32,51,48,44,34,34
16th - 18th May 2020,30,43,43,41,25,34
23rd - 25th May 2020,31,42,42,33,25,30
